id,lv,parent,id_key,name
1117010600,2,11170,11170106,용산동1가
1117010700,2,11170,11170107,동자동
1117010800,2,11170,11170108,서계동
1117010900,2,11170,11170109,청파동1가
1117011000,2,11170,11170110,청파동2가
1117011100,2,11170,11170111,청파동3가
1117011200,2,11170,11170112,원효로1가
1117011300,2,11170,11170113,원효로2가
1117011400,2,11170,11170114,신창동
1117011500,2,11170,11170115,산천동
1117011600,2,11170,11170116,청암동
1117011700,2,11170,11170117,원효로3가
1117011800,2,11170,11170118,원효로4가
1117011900,2,11170,11170119,효창동
1117012000,2,11170,11170120,도원동
1117012100,2,11170,11170121,용문동
1117012200,2,11170,11170122,문배동
1117012300,2,11170,11170123,신계동
1117012400,2,11170,11170124,한강로1가
1117012500,2,11170,11170125,한강로2가
1117012600,2,11170,11170126,용산동3가
1117012700,2,11170,11170127,용산동5가
1117012800,2,11170,11170128,한강로3가
1117012900,2,11170,11170129,이촌동
1117013000,2,11170,11170130,이태원동
1117013100,2,11170,11170131,한남동
1117013200,2,11170,11170132,동빙고동
1117013300,2,11170,11170133,서빙고동
1117013400,2,11170,11170134,주성동
1117013500,2,11170,11170135,용산동6가
1117013600,2,11170,11170136,보광동
1120000000,1,11,11200,성동구
1120010100,2,11200,11200101,상왕십리동
1120010200,2,11200,11200102,하왕십리동
1120010300,2,11200,11200103,홍익동
1120010400,2,11200,11200104,도선동
1120010500,2,11200,11200105,마장동
1120010600,2,11200,11200106,사근동
1120010700,2,11200,11200107,행당동
1120010800,2,11200,11200108,응봉동
1120010900,2,11200,11200109,금호동1가
1120011000,2,11200,11200110,금호동2가
1120011100,2,11200,11200111,금호동3가
1120011200,2,11200,11200112,금호동4가
1120011300,2,11200,11200113,옥수동
1120011400,2,11200,11200114,성수동1가
1120011500,2,11200,11200115,성수동2가
1120011800,2,11200,11200118,송정동
1120012200,2,11200,11200122,용답동
1121500000,1,11,11215,광진구
1121510100,2,11215,11215101,중곡동
1121510200,2,11215,11215102,능동
1121510300,2,11215,11215103,구의동
1121510400,2,11215,11215104,광장동
1121510500,2,11215,11215105,자양동
1121510700,2,11215,11215107,화양동
1121510900,2,11215,11215109,군자동
1123000000,1,11,11230,동대문구
1123010100,2,11230,11230101,신설동
1123010200,2,11230,11230102,용두동
1123010300,2,11230,11230103,제기동
1123010400,2,11230,11230104,전농동
1123010500,2,11230,11230105,답십리동
1123010600,2,11230,11230106,장안동
1123010700,2,11230,11230107,청량리동
1123010800,2,11230,11230108,회기동
1123010900,2,11230,11230109,휘경동
1123011000,2,11230,11230110,이문동
1126000000,1,11,11260,중랑구
1126010100,2,11260,11260101,면목동
1126010200,2,11260,11260102,상봉동
1126010300,2,11260,11260103,중화동
1126010400,2,11260,11260104,묵동
1126010500,2,11260,11260105,망우동
1126010600,2,11260,11260106,신내동
1129000000,1,11,11290,성북구
1129010100,2,11290,11290101,성북동
1129010200,2,11290,11290102,성북동1가
1129010300,2,11290,11290103,돈암동
1129010400,2,11290,11290104,동소문동1가
1129010500,2,11290,11290105,동소문동2가
1129010600,2,11290,11290106,동소문동3가
1129010700,2,11290,11290107,동소문동4가
1129010800,2,11290,11290108,동소문동5가
